disasterNumber,damagedCity,damagedStateAbbreviation,damagedZipCode,householdComposition,grossIncome,specialNeeds,ownRent,residenceType,homeOwnersInsurance,floodInsurance,inspected,rpfvl,habitabilityRepairsRequired,destroyed,waterLevel,highWaterLocation,floodDamage,foundationDamage,foundationDamageAmount,roofDamage,roofDamageAmount,tsaEligible,tsaCheckedIn,rentalAssistanceEligible,rentalAssistanceAmount,repairAssistanceEligible,repairAmount,replacementAssistanceEligible,replacementAmount,sbaEligible,renterDamageLevel,rentalAssistanceEndDate,rentalResourceCity,rentalResourceStateAbbreviation,rentalResourceZipCode,primaryResidence,personalPropertyEligible,ppfvl,censusBlockId,id,censusYear
4332,BLOOMINGTON,TX,77951.0,2.0,60000.0,0.0,Renter,House/Duplex,0.0,0.0,1.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,484690017004028.0,bb769eb7-ba8a-4ace-967a-d8a912f54baa,2010.0
4337,CORAL SPRINGS,FL,33065.0,1.0,192000.0,0.0,Renter,Apartment,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120110203262025.0,19de1124-3e2c-4950-b44c-fbb853a2fbea,2010.0
4337,HIALEAH,FL,33014.0,4.0,24000.0,0.0,Renter,Townhouse,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,1.0,0.0,1.0,1295.0,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120860093061023.0,62be5f31-5fce-4b20-a68c-1f9c511dc9b2,2010.0
4339,CAROLINA,PR,984.0,1.0,29472.0,0.0,Renter,House/Duplex,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,720310501052007.0,6bd73293-e1e9-44be-9f3a-fc65eab0ba8f,2010.0
4399,PANAMA CITY,FL,32401.0,3.0,30000.0,0.0,Renter,Mobile Home,0.0,0.0,1.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,Renter-Moderate Damage(Renter No Cost),,,,,1.0,0.0,520.53,120050010002006.0,24084175-f461-4387-a660-e4a2f2e62c13,2010.0
4611,HOUMA,LA,70364.0,2.0,50000.0,0.0,Owner,House/Duplex,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,221090004021024.0,00e03b00-f83d-4df7-82c8-2880a15f81f2,2020.0
4611,NEW ORLEANS,LA,70127.0,3.0,53000.0,0.0,Owner,House/Duplex,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,220710017232023.0,cd9ea968-ae66-43bf-bd08-df044bd93d38,2020.0
4332,TEXAS CITY,TX,77591.0,2.0,2200.0,0.0,Renter,Apartment,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,1.0,0.0,481677227001007.0,f80e7b5b-9f8d-4d5f-8d1a-03d1f21370fa,2010.0
4332,HUMBLE,TX,77396.0,1.0,35000.0,0.0,Owner,House/Duplex,1.0,0.0,1.0,20.72,0.0,0.0,2.0,,1.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,482012502002000.0,3e770848-5af6-4257-ad35-039c096aa76c,2010.0
4337,LOXAHATCHEE,FL,33470.0,2.0,50000.0,0.0,Owner,House/Duplex,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120990079122063.0,79e46989-89ef-42ff-9d7a-a41f78c8a1f7,2010.0
4337,INVERNESS,FL,34452.0,4.0,39000.0,0.0,Owner,House/Duplex,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120174511023045.0,4f06e1a7-dd93-44ea-bfdc-c0f5b2e68b22,2010.0
4337,NORTH MIAMI,FL,33161.0,1.0,,0.0,Renter,House/Duplex,0.0,0.0,1.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,120860002202009.0,90b0a9d6-62ca-409c-a427-cafb5d67727d,2010.0
4337,LONGWOOD,FL,32779.0,3.0,,0.0,Owner,House/Duplex,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,121170216092019.0,a8f2da7b-d94c-4069-97a1-a840fa0aea1a,2010.0
4559,LEESVILLE,LA,71446.0,3.0,203836.0,0.0,Owner,House/Duplex,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,221159501004037.0,33bd54e7-9347-4a04-996c-c9e37b58b5db,2020.0
4611,BATON ROUGE,LA,70806.0,3.0,15000.0,0.0,Renter,Apartment,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,220330011021011.0,a5e728b2-c47a-42f0-a222-7857c74c2d4e,2020.0
4611,GONZALES,LA,70737.0,2.0,70000.0,0.0,Owner,House/Duplex,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,220050304052000.0,e4b5c83f-b5dc-436a-a7a4-56f13f708c24,2020.0
4332,ORANGE,TX,77630.0,1.0,12000.0,0.0,Owner,Travel Trailer,0.0,0.0,1.0,448.08,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,448.08,0.0,,0.0,,,,,,1.0,1.0,670.27,483610203001013.0,03355229-433b-4dbb-b8f6-7e33ddb2e7c6,2010.0
4337,SOUTHWEST RANCHES,FL,33332.0,2.0,18000.0,0.0,Renter,House/Duplex,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,1.0,0.0,1.0,1307.0,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120110703141024.0,8c5de67b-872b-41e3-b093-4bfca48fb33f,2010.0
4337,FELLSMERE,FL,32948.0,3.0,25000.0,0.0,Owner,Mobile Home,1.0,1.0,1.0,1000.0,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,120610509043060.0,016ebf42-3488-40d4-9424-0d3772b8b8c1,2010.0
4339,BAYAMON,PR,959.0,4.0,15771.0,0.0,Owner,House/Duplex,1.0,1.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,720210310312009.0,a5a51c15-7d88-4500-8331-6b1a027463c9,2010.0
4339,SAN SEBASTIAN,PR,685.0,1.0,1400.0,0.0,Owner,House/Duplex,0.0,0.0,1.0,284.8,0.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,1.0,1006.5,721319592001027.0,8288b52f-498e-4cce-94fe-ef181c450e7c,2010.0
4339,ARECIBO,PR,612.0,1.0,27000.0,0.0,Owner,House/Duplex,1.0,1.0,0.0,,,0.0,,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,720133008004003.0,cdc49c5c-96d0-4807-90d4-38364b60ad9a,2010.0
4611,NEW ORLEANS,LA,70125.0,2.0,250000.0,0.0,Owner,House/Duplex,1.0,1.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,220710122002026.0,7969d546-6930-40ad-9d5f-aa860f6a28f2,2020.0
4611,GREENSBURG,LA,70441.0,1.0,12000.0,0.0,Renter,House/Duplex,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,220919511001013.0,27317a5f-e761-4fa5-99db-8b5ce580ec8c,2020.0
4332,PASADENA,TX,77506.0,1.0,11730.0,0.0,Renter,Apartment,0.0,0.0,1.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,482013220001003.0,d84b831d-6b74-42d6-b830-0f069cf10de2,2010.0
4337,TAMPA,FL,33614.0,1.0,25000.0,0.0,Renter,Apartment,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120570119012009.0,067f2e60-f0f9-47bc-8a51-2c7ef5442797,2010.0
4337,MIAMI,FL,33127.0,1.0,,0.0,Renter,Apartment,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120860028001020.0,85b5a3e7-c7ef-4832-be7a-d81243d098d0,2010.0
4339,SAN JUAN,PR,921.0,5.0,12716.0,0.0,Renter,House/Duplex,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,1.0,969.72,721270085003003.0,96f6ea04-5aa1-4f44-aad0-58683d09caa2,2010.0
4332,TEXAS CITY,TX,77590.0,1.0,0.0,0.0,Renter,Apartment,0.0,0.0,1.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,481677220021003.0,0ef58cfd-769c-4449-9dbd-bee8cba2a8e3,2010.0
4332,CROSBY,TX,77532.0,4.0,81000.0,0.0,Owner,House/Duplex,1.0,1.0,1.0,11269.58,1.0,0.0,11.0,,1.0,0.0,,0.0,,1.0,0.0,1.0,2912.0,1.0,62.79,0.0,,0.0,,,,,,1.0,0.0,3545.13,482012518001000.0,72b1e343-cb4d-47c6-8075-d94a9700fe9e,2010.0
4332,VICTORIA,TX,77901.0,4.0,45000.0,0.0,Renter,House/Duplex,0.0,0.0,1.0,,,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,484690016042005.0,259d0958-43b9-4e03-b19a-9987f2153111,2010.0
4337,BRADENTON,FL,34207.0,1.0,20508.0,0.0,Owner,Mobile Home,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120810002013030.0,c402b4a5-64ff-426a-98dd-9bd3a533aaec,2010.0
4337,CLEARWATER,FL,33756.0,1.0,,0.0,Owner,House/Duplex,0.0,0.0,1.0,,,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,121030257003030.0,e32b1156-6220-46ea-90f7-6b9028a60c90,2010.0
4337,MIAMI,FL,33168.0,1.0,,0.0,Renter,House/Duplex,0.0,0.0,1.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,120860011013024.0,4ff540c3-ffaf-4cb9-b49c-fb28db036a85,2010.0
4337,NORTH BAY VILLAGE,FL,33141.0,2.0,54470.0,0.0,Renter,Apartment,0.0,0.0,1.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,Renter-Moderate Damage(Renter No Cost),,,,,1.0,0.0,0.0,120860039182004.0,676d5918-77d6-4b41-8346-f2db529a0a69,2010.0
4339,DORADO,PR,646.0,2.0,,0.0,Owner,House/Duplex,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,720515406002016.0,f656c6c4-578e-44f0-a5fe-1d8c2a17e6c8,2010.0
4339,VEGA BAJA,PR,693.0,5.0,16800.0,0.0,Owner,House/Duplex,0.0,0.0,1.0,213.6,0.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,1.0,231.54,721455602011037.0,96897229-1d02-4c32-b5ac-d3d514932335,2010.0
4611,NEW ORLEANS,LA,70122.0,2.0,12000.0,0.0,Renter,Apartment,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,1.0,1.0,1.0,1061.0,0.0,,0.0,,0.0,,,,,,1.0,0.0,,220710033081001.0,0966744b-9b9f-4200-b1aa-3f07a6418f9d,2020.0
4339,ARECIBO,PR,612.0,2.0,,0.0,Owner,Other,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,720133007002008.0,4c28d075-95cd-4a1c-9f99-dd61792a2767,2010.0
4559,ALEXANDRIA,LA,71303.0,2.0,15120.0,0.0,Renter,Apartment,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,220790107012004.0,985ffd9f-8a53-4eb1-965e-ef2ecad17649,2020.0
4611,BATON ROUGE,LA,70802.0,1.0,38000.0,0.0,Owner,House/Duplex,0.0,0.0,1.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,220330053001012.0,bb4ec837-4825-4e65-9b84-eeb653b71b98,2020.0
4337,WEST PALM BEACH,FL,33407.0,2.0,110000.0,0.0,Owner,House/Duplex,1.0,1.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120990018011007.0,9409bdda-4149-4995-9afc-5f59e8d27d2b,2010.0
4337,SEBRING,FL,33870.0,2.0,16000.0,0.0,Renter,Apartment,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,1.0,1.0,1.0,745.0,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120559611002010.0,67618a24-70af-4146-b3a7-d7164b6f6b68,2010.0
4337,WEST PALM BEACH,FL,33405.0,1.0,25000.0,0.0,Renter,House/Duplex,0.0,0.0,1.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,120990033001017.0,61546e9f-4d96-4024-80a6-bd7a1df0c1c1,2010.0
4337,ORANGE PARK,FL,32073.0,1.0,4500.0,0.0,Renter,House/Duplex,0.0,0.0,1.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,120190302031026.0,09aa9aee-5840-44e9-961c-62a371442beb,2010.0
4339,ADJUNTAS,PR,601.0,4.0,20000.0,0.0,Owner,House/Duplex,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,720019568002009.0,fe3fa443-6a0e-4d50-a228-c38b0a2bb3ee,2010.0
4586,HOUSTON,TX,77028.0,5.0,26260.0,1.0,Owner,House/Duplex,0.0,0.0,1.0,3523.02,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,1.0,474.99,482012302003014.0,2efd9e1c-fc5b-4e38-9ccf-f2f8fb6168c5,2020.0
4586,GRAND PRAIRIE,TX,75052.0,1.0,,0.0,Owner,House/Duplex,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,484391115541015.0,13271c72-b092-4035-9287-d5ed76bd013f,2020.0
4337,MIAMI,FL,33187.0,1.0,30000.0,0.0,Renter,House/Duplex,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120860198004015.0,23094b59-f612-4c89-b029-9888d50a3a2b,2010.0
4337,MIAMI GARDENS,FL,33179.0,1.0,11328.0,0.0,Owner,Condo,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,120860098082012.0,73be8b1c-6e7f-4b8f-8b04-44790781566a,2010.0
4339,SAN JUAN,PR,926.0,1.0,80000.0,0.0,Owner,House/Duplex,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,721270099041000.0,cf987951-3094-42f4-baca-23422377e16c,2010.0
